상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,경도,위도
가야초밥,음식,일식,일식 회/초밥,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 자양로41길 7,127.0898527,37.54973407
요리왕,음식,중식,중국집,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 긴고랑로13길 66,127.0832788,37.56533445
무교동가마솥왕족발,음식,한식,족발/보쌈,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 뚝섬로 491,127.0648604,37.53647354
안다즈,음식,비알코올 ,카페,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 천호대로132길 10,127.0894944,37.55035303
왕빈자삼파전,음식,주점,요리 주점,서울특별시,광진구,중곡4동,중곡동,서울특별시 광진구 천호대로129길 47-1,127.0916957,37.55360476
사월식당,음식,일식,일식 회/초밥,서울특별시,광진구,자양2동,자양동,서울특별시 광진구 자양로4길 12-1,127.0869642,37.53139336
카페건대커피랩,음식,비알코올 ,카페,서울특별시,광진구,화양동,화양동,서울특별시 광진구 동일로22길 102,127.0696265,37.54082722
라떼와모카,음식,비알코올 ,카페,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 자양로 178,127.0848272,37.54331578
진곱창,음식,한식,곱창 전골/구이,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 아차산로 397,127.0867077,37.53758162
춘선만두,음식,기타 간이,김밥/만두/분식,서울특별시,광진구,군자동,군자동,서울특별시 광진구 군자로 101,127.0712495,37.55230137
테이큰,음식,비알코올 ,카페,서울특별시,광진구,화양동,화양동,서울특별시 광진구 능동로16길 51,127.0758172,37.54533604
돼지꿈,음식,한식,돼지고기 구이/찜,서울특별시,광진구,화양동,화양동,서울특별시 광진구 광나루로 344,127.0680088,37.54806793
엘루이비스트로,음식,서양식,경양식,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로33길 35,127.0704615,37.54193308
후타리,음식,주점,요리 주점,서울특별시,광진구,중곡2동,중곡동,서울특별시 광진구 긴고랑로 58,127.0824709,37.56198528
육감만족,음식,한식,족발/보쌈,서울특별시,광진구,중곡4동,중곡동,서울특별시 광진구 천호대로129길 5,127.0898975,37.55256372
청춘물고기,음식,한식,횟집,서울특별시,광진구,화양동,화양동,서울특별시 광진구 군자로 43,127.0700798,37.54715617
올래,음식,주점,요리 주점,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 자양로22길 24,127.0847382,37.53948561
청진동해장국,음식,한식,국/탕/찌개류,서울특별시,광진구,중곡4동,중곡동,서울특별시 광진구 용마산로 66,127.0878657,37.55955821
컴포즈커피광진긴고랑로점,음식,비알코올 ,카페,서울특별시,광진구,중곡2동,중곡동,서울특별시 광진구 긴고랑로 80,127.0844767,37.56086553
던킨도너츠,음식,기타 간이,빵/도넛,서울특별시,광진구,광장동,광장동,서울특별시 광진구 아차산로 502,127.0972195,37.54134776
좋은사람들,음식,주점,요리 주점,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 아차산로51길 36-1,127.0851334,37.53863268
모다미육,음식,한식,돼지고기 구이/찜,서울특별시,광진구,화양동,화양동,서울특별시 광진구 동일로 178,127.067797,37.54780495
가가호호비빔가,음식,한식,백반/한정식,서울특별시,광진구,자양2동,자양동,서울특별시 광진구 뚝섬로 672,127.0841765,37.53175022
수북전집,음식,주점,요리 주점,서울특별시,광진구,중곡4동,중곡동,서울특별시 광진구 자양로43길 85,127.0893458,37.55419036
베스킨라빈스광장현대점,음식,기타 간이,아이스크림/빙수,서울특별시,광진구,광장동,광장동,서울특별시 광진구 아차산로 494,127.0966674,37.54114531
컴포즈커피군자점,음식,비알코올 ,카페,서울특별시,광진구,군자동,군자동,서울특별시 광진구 군자로 184,127.0784363,37.55688095
솜사탕,음식,주점,요리 주점,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 면목로 97,127.0791722,37.56238309
홀리앤졸리,음식,비알코올 ,카페,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 아차산로30길 7,127.067822,37.54034445
알콜스낵,음식,한식,백반/한정식,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로33길 49,127.0707147,37.54250274
또래오래,음식,기타 간이,치킨,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 자양로13길 64,127.0810849,37.53381665
딸부자네건대역점,음식,한식,돼지고기 구이/찜,서울특별시,광진구,화양동,화양동,서울특별시 광진구 동일로22길 71,127.0681924,37.54150072
오케이7080,음식,주점,요리 주점,서울특별시,광진구,군자동,군자동,서울특별시 광진구 면목로 38,127.0767537,37.55748953
요거트아이스크림의정석,음식,기타 간이,아이스크림/빙수,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 자양로 282,127.0915939,37.55080171
커피앤버스,음식,비알코올 ,카페,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 자양번영로 50-1,127.0761603,37.53403953
눈,음식,비알코올 ,카페,서울특별시,광진구,광장동,광장동,서울특별시 광진구 아차산로70길 17-21,127.1032973,37.5412499
쥬시팔팔핫도그,음식,비알코올 ,카페,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 면목로 132,127.0810278,37.56519982
로니로티건국대점,음식,서양식,파스타/스테이크,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로 225,127.06846,37.54090813
투썸플레이스군자역점,음식,비알코올 ,카페,서울특별시,광진구,군자동,군자동,서울특별시 광진구 능동로 289,127.0783253,37.5557808
